District Name,Year,Total Operating Revenue,Student Count,Campus Name,County Name,Region,Region Name,ERW,SAT Math,SAT Total,ACT English,ACT Math,ACT Reading,ACT Science,ACT Compos,per student budget
bryan isd,2022,195788852.0,16005,Bryan Collegiate HS,Brazos County,6.0,Huntsville,525.0,504.0,1029.0,17.3,17.9,19.7,19.4,18.7,12232
bryan isd,2022,195788852.0,16005,James Earl Rudder HS,Brazos County,6.0,Huntsville,429.0,424.0,853.0,17.6,18.8,19.0,19.2,18.7,12232
bryan isd,2022,195788852.0,16005,Travis B Bryan HS,Brazos County,6.0,Huntsville,515.0,500.0,1016.0,19.4,19.8,21.5,21.1,20.6,12232
schertz-cibolo-u city isd,2022,153290794.0,15875,Byron P Steele II HS,Guadalupe County,20.0,San Antonio,509.0,502.0,1011.0,19.7,21.4,21.1,21.4,21.0,9656
schertz-cibolo-u city isd,2022,153290794.0,15875,Samuel Clemens HS,Guadalupe County,20.0,San Antonio,515.0,498.0,1013.0,22.7,21.6,25.8,23.1,23.5,9656
weslaco isd,2022,195554484.0,15581,Weslaco East HS,Hidalgo County,1.0,Edinburg,524.0,477.0,1001.0,14.7,16.3,16.5,17.2,16.3,12550
weslaco isd,2022,195554484.0,15581,Weslaco HS,Hidalgo County,1.0,Edinburg,534.0,529.0,1063.0,15.6,17.1,18.2,18.0,17.3,12550
abilene isd,2022,196269774.0,15274,Cooper HS,Taylor County,14.0,Abilene,526.0,496.0,1021.0,14.8,16.5,17.2,17.1,16.5,12849
abilene isd,2022,196269774.0,15274,Abilene HS,Taylor County,14.0,Abilene,568.0,524.0,1092.0,15.1,16.4,17.3,17.7,16.8,12849
abilene isd,2022,196269774.0,15274,Academy for Technology,Taylor County,14.0,Abilene,581.0,578.0,1159.0,19.7,20.7,21.4,21.5,21.0,12849
huntsville isd,2022,156195697.0,15260,Texas Online Preparatory HS,Walker County,6.0,Huntsville,590.0,552.0,1142.0,24.3,21.6,26.7,24.7,24.5,10235
